Karin Greimel,Synthesizing robust systems.,Acta Inf.,2014
Gnther E. Pfaff,The Construction of Operator Interfaces Based on Logical Input Devices.,Acta Inf.,1983
D. R. Milton,Efficient LL(1) Error Correction and Recovery Using Only Insertions.,Acta Inf.,1980
Domenico Parente,Languages Accepted by Systolic Y-Tree Automata: Structural Characterizations.,Acta Inf.,1992
Luc Boasson,Sur diverses familles de langages fermes par transductions rationelle,Acta Inf.,1973
Donald E. Knuth,Top-Down Syntax Analysis.,Acta Inf.,1971
Hans-Ulrich Simon,Pattern Matching in Trees and Nets.,Acta Inf.,1983
Gianna Reggio,Labelled transition logic: an outline.,Acta Inf.,2001
Laura Bozzelli,On decidability of LTL model checking for process rewrite systems.,Acta Inf.,2009
Marc Feeley,Efficiently building a parse tree from a regular expression.,Acta Inf.,2000
Peter Lipps,Attribute (Re)evaluation in OPTRAN.,Acta Inf.,1988
J. C. A. Boekhorst,Page Size in Demand-Paging Systems.,Acta Inf.,1973
Telis Menas,Expressibility of Output Equals Input.,Acta Inf.,1992
George Rahonis,Equational weighted tree transformations.,Acta Inf.,2012
Norbert Blum,On the Power of Chain Rules in Context Free Grammars.,Acta Inf.,1982
C. Keleman,On Some Decidable Properties of Finite State Translations.,Acta Inf.,1982
Jn Gaso,Stochastic cooperative distributed grammar systems and random graphs.,Acta Inf.,2003
Matthias Wendlandt,Head and state hierarchies for unary multi-head finite automata.,Acta Inf.,2014
Augusto Sampaio,Correct hardware synthesis - An algebraic approach.,Acta Inf.,2011
Pradip K. Srimani,Worst Case Performance of Weighted Buddy Systems.,Acta Inf.,1987
Yong He,Preemptive online algorithms for scheduling with machine cost.,Acta Inf.,2005
Victor Mitrana,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.,Acta Inf.,2000
Ikuo Nakata,Generation of Efficient  LALR  Parsers for Regular Right Part Grammars.,Acta Inf.,1986
Rainer Kemp,A Note on the Density of Inherently Ambiguous Context-free Languages.,Acta Inf.,1980
S. O. Anderson,An Alternative Implementation of an Insertion-Only Recovery Technique.,Acta Inf.,1982
Markus Holzer,Programmed grammars and their relation to the LBA problem.,Acta Inf.,2006
Jrg H. Siekmann,Paramodulated Connection Graphs.,Acta Inf.,1980
Karin Greimel,Multi-tilde-bar expressions and their automata.,Acta Inf.,2012
Arto Salomaa,EOL Forms.,Acta Inf.,1977
J. V. Tucker,Algebraic Models of Microprocessors: Architecture and Organisation.,Acta Inf.,1996
Adrian Atanasiu,A Class of Coders Based on GSM.,Acta Inf.,1992
Ferruccio Damiani,Compositional type checking of delta-oriented software product lines.,Acta Inf.,2013
Gopal Gupta,Data structures for order-sensitive predicates in parallel nondeterministic systems.,Acta Inf.,2000
Fabrice Kordon,Exploiting colored Petri nets to decide on permutation admissibility.,Acta Inf.,2009
Otto Mayer,A Robust and Efficient Spatial Data Structure.,Acta Inf.,1992
Raphael A. Finkel,Quad Trees: A Data Structure for Retrieval on Composite Keys.,Acta Inf.,1974
Paolo Sipala,Constructing Maximal Slicings from Geometry.,Acta Inf.,1986
Robert T. Moenck,Another Polynomial Homomorphism.,Acta Inf.,1976
Dongfeng Chen,Query optimization in information integration.,Acta Inf.,2013
Johannes Reichardt,Deterministic Grammars and Grammar Morphisms.,Acta Inf.,1986
Wim H. Hesselink,Splitting forward simulations to copewith liveness.,Acta Inf.,2006
Gunter Bolch,A Conservation Law for G/G/m Queueing Systems.,Acta Inf.,1978
Vesa Halava,New proof for the undecidability of the circular PCP.,Acta Inf.,2013
Yong He,Optimal semi-online algorithms for preemptive scheduling problems with inexact partial information.,Acta Inf.,2007
Nissim Francez,Backtracking in Recursive Computations.,Acta Inf.,1977
Thomas Ottmann,Relaxed balance for search trees with local rebalancing.,Acta Inf.,2001
H. C. M. Kleijn,Deterministic Sequential Functions.,Acta Inf.,1992
Christel Baier,Compositional construction of most general controllers.,Acta Inf.,2015
Teodor Knapik,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,Acta Inf.,1994
Benedetto Intrigila,On the Generalization of Higman and Kruskal's Theorems to Regular Languages and Rational Trees.,Acta Inf.,2000
Hermann A. Maurer,EOL Forms.,Acta Inf.,1977
Ivana Cern,Comparing Expressibility of Normed BPA and Normed BPP Processes.,Acta Inf.,1999
William R. Franta,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.,Acta Inf.,1976
Riccardo Torlone,Update Operations in Deductive Databases with Functional Dependencies.,Acta Inf.,1994
Amit Chakrabarti,The query complexity of estimating weighted averages.,Acta Inf.,2011
Dale Skeen,Thrifty Execution of Task Pipelines.,Acta Inf.,1985
Annie Choquet,Fifo Nets Without Order Deadlock.,Acta Inf.,1988
Peter Teunissen,A Multiclass Networt Model of a Demand Paging Computer System.,Acta Inf.,1978
Emanuela Fachini,Classes of Systolic Y-Tree Automata and a Comparison with Systolic Trellis Automata.,Acta Inf.,1992
Edward G. Belaga,Through the Mincing Machine with a Boolean Layer Cake.,Acta Inf.,1989
Joakim von Wright,Reasoning Algebraically about Loops.,Acta Inf.,1999
Axel van Lamsweerde,Formal Derivation of Strongly Correct Concurrent Programs.,Acta Inf.,1979
Hanna Klaudel,M-Nets: An Algebra of High-Level Petri Nets with an Application to the Semantics of Concurrent Programming Languages.,Acta Inf.,1998
Peter Deussen,A Decidability Criterion for van Wijngaarden Grammars.,Acta Inf.,1975
David Gries,A Proof Technique for Communicating Sequential Processes.,Acta Inf.,1981
Brenda S. Baker,Lower Bounds for On-Line Two-Dimensional Packing Algorithms.,Acta Inf.,1982
Markus Bttner,Enhanced prefetching and caching strategies for single- and multi-disk systems.,Acta Inf.,2005
Steffen Hlldobler,The Undecidability of the Unification and Matching Problem for Canonical Theories.,Acta Inf.,1987
Karsten Schmidt 0004,How to Calculate Symmetries of Petri Nets.,Acta Inf.,2000
Arto Salomaa,Nonterminals Homomorphisms and Codings in Different Variations of OL-Systems.  I. Deterministic Systems.,Acta Inf.,1974
Niklaus Wirth,The Programming Language Pascal.,Acta Inf.,1971
Juris Hartmanis,On Non-Determinancy in Simple Computing Devices.,Acta Inf.,1972
Ann E. Kelley Sobel,A Proof System for Distributed Processes.,Acta Inf.,1988
Borivoj Melichar,On regular tree languages and deterministic pushdown automata.,Acta Inf.,2009
Edward A. Bender,Optimal Worst Case Trees.,Acta Inf.,1987
Colin Stirling,A Fair Calculus of Communicating Systems.,Acta Inf.,1984
Zvi Galil,Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.,Acta Inf.,1980
Andrei P. Ershov,Klaus Samelson.,Acta Inf.,1981
Elisa Bertino,Correctness of Semantic Integrity Checking in Database Management Systems.,Acta Inf.,1988
Satish K. Tripathi,On an Exponential Server with General Cyclic Arrivals.,Acta Inf.,1982
